Code,Site,Year,Type,Surrogate,Pesticide,Flag,Concentration
MERY 4,MERY,1999,NA,116,Heptachlor Epoxide,TRUE,1.2
MERY 4,MERY,1999,NA,116,op_DDE,TRUE,1.2
MERY 4,MERY,1999,NA,116,a_Endosulfan,TRUE,1.2
MERY 4,MERY,1999,NA,116,cis_Chlordane,TRUE,1
MERY 4,MERY,1999,NA,116,Transnonachlor,TRUE,1
MERY 4,MERY,1999,NA,116,pp_DDE,FALSE,7.6
MERY 4,MERY,1999,NA,116,Dieldrin,TRUE,1.2
MERY 4,MERY,1999,NA,116,op_DDD,TRUE,1
MERY 4,MERY,1999,NA,116,b_Endosulfan,TRUE,2
MERY 4,MERY,1999,NA,116,pp_DDD,TRUE,1.5
MERY 4,MERY,1999,NA,116,op_DDT,TRUE,1.2
MERY 4,MERY,1999,NA,116,pp_DDT,TRUE,1
MERY 4,MERY,1999,NA,116,Mirex,TRUE,1.5
MERY 4,MERY,1999,NA,116,Total,FALSE,7.6
MERY 4 Duplicate,MERY,1999,NA,114,HCB,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,g_HCH,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,Heptachlor,TRUE,1
MERY 4 Duplicate,MERY,1999,NA,114,Aldrin,TRUE,1.5
MERY 4 Duplicate,MERY,1999,NA,114,Heptachlor Epoxide,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,op_DDE,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,a_Endosulfan,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,cis_Chlordane,TRUE,1
MERY 4 Duplicate,MERY,1999,NA,114,Transnonachlor,TRUE,1
MERY 4 Duplicate,MERY,1999,NA,114,pp_DDE,FALSE,6.1
MERY 4 Duplicate,MERY,1999,NA,114,Dieldrin,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,op_DDD,TRUE,1
MERY 4 Duplicate,MERY,1999,NA,114,b_Endosulfan,TRUE,2
MERY 4 Duplicate,MERY,1999,NA,114,pp_DDD,TRUE,1.5
MERY 4 Duplicate,MERY,1999,NA,114,op_DDT,TRUE,1.2
MERY 4 Duplicate,MERY,1999,NA,114,pp_DDT,TRUE,1
MERY 4 Duplicate,MERY,1999,NA,114,Mirex,TRUE,1.5
MERY 4 Duplicate,MERY,1999,NA,114,Total,FALSE,6.1
MEPH-1N,MEPH,2000,N,NA,HCB,TRUE,1.2
MEPH-1N,MEPH,2000,N,NA,g_HCH,TRUE,1.2
MEPH-1N,MEPH,2000,N,NA,Heptachlor,TRUE,1
MEPH-1N,MEPH,2000,N,NA,Aldrin,TRUE,1.5
MEPH-1N,MEPH,2000,N,NA,Heptachlor Epoxide,TRUE,1.2
MEPH-1N,MEPH,2000,N,NA,op_DDE,TRUE,1.2
MEPH-1N,MEPH,2000,N,NA,a_Endosulfan,TRUE,1.2
MEPH-1N,MEPH,2000,N,NA,cis_Chlordane,FALSE,3.2
MEPH-1N,MEPH,2000,N,NA,Transnonachlor,FALSE,2.5
MEPH-1N,MEPH,2000,N,NA,pp_DDE,FALSE,6.5
MEPH-1N,MEPH,2000,N,NA,Dieldrin,TRUE,1.2
MEPH-1N,MEPH,2000,N,NA,op_DDD,TRUE,1
MEPH-1N,MEPH,2000,N,NA,b_Endosulfan,TRUE,2
MEPH-1N,MEPH,2000,N,NA,pp_DDD,FALSE,13.9
MEPH-1N,MEPH,2000,N,NA,op_DDT,FALSE,3.6
MEPH-1N,MEPH,2000,N,NA,pp_DDT,FALSE,22.7
MEPH-1N,MEPH,2000,N,NA,Mirex,TRUE,1.5
MEPH-1N,MEPH,2000,N,NA,Total,FALSE,52
MEPH 2N,MEPH,2000,N,NA,HCB,TRUE,1.2
MEPH 2N,MEPH,2000,N,NA,g_HCH,TRUE,1.2
MEPH 2N,MEPH,2000,N,NA,Heptachlor,TRUE,1
MEPH 2N,MEPH,2000,N,NA,Aldrin,TRUE,1.5
MEPH 2N,MEPH,2000,N,NA,Heptachlor Epoxide,FALSE,1.7
MEPH 2N,MEPH,2000,N,NA,op_DDE,TRUE,1.2
MEPH 2N,MEPH,2000,N,NA,a_Endosulfan,TRUE,1.2
MEPH 2N,MEPH,2000,N,NA,cis_Chlordane,FALSE,3.5
